platform,title,description,category,subcategory,source_url,thumbnail_url,tags,image_urls,price
Pinshape,Spherical Differential,"This Spherical Differential, while currently an ornamental piece, holds the promise of becoming a functional mechanism in the future. Despite its intricate design, assembly is a breeze with just five screws. The model is designed to be printed using an Ultimaker 2, with support structures built into the STL file itself for the gears. The model showcases detailed craftsmanship and can serve as a conversation piece or a test for your 3D printing skills.",Tech & Devices,Gadgets,https://pinshape.com/items/31056-3d-printed-spherical-differential,//assets.pinshape.com/uploads/image/file/124779/pin_spherical-differential-3d-printing-124779.jpg,"3D-Design,Spherical Differential,Ultimaker 2,Gears,3D Print,Ornamental,Mechanism,STL,Intricate Design,Assembly,Support Structures,Craftsmanship,3D Printing Skills,Gadgets","[['https://assets.pinshape.com/uploads/image/file/124779/container_spherical-differential-3d-printing-124779.jpg', 'https://assets.pinshape.com/uploads/image/file/124779/horizontal_thumbnail_spherical-differential-3d-printing-124779.jpg'], ['https://assets.pinshape.com/uploads/image/file/124780/container_spherical-differential-3d-printing-124780.jpg', 'https://assets.pinshape.com/uploads/image/file/124780/horizontal_thumbnail_spherical-differential-3d-printing-124780.jpg'], ['https://assets.pinshape.com/uploads/image/file/124781/container_spherical-differential-3d-printing-124781.jpg', 'https://assets.pinshape.com/uploads/image/file/124781/horizontal_thumbnail_spherical-differential-3d-printing-124781.jpg'], ['https://assets.pinshape.com/uploads/image/file/124782/container_spherical-differential-3d-printing-124782.jpg', 'https://assets.pinshape.com/uploads/image/file/124782/horizontal_thumbnail_spherical-differential-3d-printing-124782.jpg'], ['https://assets.pinshape.com/uploads/image/file/124783/container_spherical-differential-3d-printing-124783.jpg', 'https://assets.pinshape.com/uploads/image/file/124783/horizontal_thumbnail_spherical-differential-3d-printing-124783.jpg'], ['https://assets.pinshape.com/uploads/image/file/124784/container_spherical-differential-3d-printing-124784.jpg', 'https://assets.pinshape.com/uploads/image/file/124784/horizontal_thumbnail_spherical-differential-3d-printing-124784.jpg'], ['https://assets.pinshape.com/uploads/image/file/124785/container_spherical-differential-3d-printing-124785.jpg', 'https://assets.pinshape.com/uploads/image/file/124785/horizontal_thumbnail_spherical-differential-3d-printing-124785.jpg'], ['https://assets.pinshape.com/uploads/image/file/124786/container_spherical-differential-3d-printing-124786.jpg', 'https://assets.pinshape.com/uploads/image/file/124786/horizontal_thumbnail_spherical-differential-3d-printing-124786.jpg']]",Free
Pinshape,Fidget Toy Hand Spinner,"Unleash your playful side with this irresistible fidget toy hand spinner. Designed for restless hands, this toy incorporates standard skateboard bearings for smooth spinning. With an additional option to glue together for extra weight or sand down, the customization is all yours. Once you start, you won't be able to put it down!",Toys & Miniatures,Fidget Toys,https://pinshape.com/items/27532-3d-printed-fidget-toy-hand-spinner,//assets.pinshape.com/uploads/image/file/107747/pin_fidget-toy-hand-spinner-3d-printing-107747.JPG,"fidget,toy,hand,spinner,stress-relief,skateboard bearings,playful,restless,customizable,3D printed,engaging,entertainment,interactive,fun,addictive","[['https://assets.pinshape.com/uploads/image/file/107747/container_fidget-toy-hand-spinner-3d-printing-107747.JPG', 'https://assets.pinshape.com/uploads/image/file/107747/horizontal_thumbnail_fidget-toy-hand-spinner-3d-printing-107747.JPG']]",Free
Pinshape,Low-Medium Poly Alduin from Skyrim,"Experience the thrill of the popular game, Skyrim, with this Low-Medium Poly Alduin model crafted by ndrs. Bring your gaming fantasy to life with this 3D printed masterpiece. We look forward to seeing your unique prints!",Toys & Miniatures,Gaming Characters,https://pinshape.com/items/7100-3d-printed-low-medium-poly-alduin-from-skyrim,//assets.pinshape.com/uploads/image/file/26026/pin_low-medium-poly-alduin-from-skyrim-3d-printing-26026.jpg,"skyrim,alduin,3D print,low-poly,medium-poly,thingiverse,gaming,video game characters,3D modeling,fantasy,role-playing game,RPG,dragon,game replica,collectibles","[['https://assets.pinshape.com/uploads/image/file/26026/container_low-medium-poly-alduin-from-skyrim-3d-printing-26026.jpg', 'https://assets.pinshape.com/uploads/image/file/26026/horizontal_thumbnail_low-medium-poly-alduin-from-skyrim-3d-printing-26026.jpg']]",Free
Pinshape,Batman Cowl,"Updated for larger 3D printers, this Batman Cowl is the perfect addition to your superhero collection. Brought to life by the talented Youtuber UncleJessy4Real, this cowl is a symbol of courage and justice. Perfect for cosplay, display, or just to bring out your inner vigilante. Show your support for the artist by donating at the link below. For personal use only, contact me on Twitter for commercial printing arrangements.",Toys & Miniatures,Superheroes,https://pinshape.com/items/20569-3d-printed-batman-cowl,//assets.pinshape.com/uploads/image/file/75640/pin_batman-cowl-3d-printing-75640.JPG,"cosplay-design-contest,Batman,mask,masks,cowl,dark-knight,dark,knightmare,knight,helmets,helmet,prop,Props,batman-v-superman-design-contest,superhero,3D-print,UncleJessy4Real,vigilante,crime-fighter,comic-book","[['https://assets.pinshape.com/uploads/image/file/75640/container_batman-cowl-3d-printing-75640.JPG', 'https://assets.pinshape.com/uploads/image/file/75640/horizontal_thumbnail_batman-cowl-3d-printing-75640.JPG'], ['https://assets.pinshape.com/uploads/image/file/75642/container_batman-cowl-3d-printing-75642.JPG', 'https://assets.pinshape.com/uploads/image/file/75642/horizontal_thumbnail_batman-cowl-3d-printing-75642.JPG'], ['https://assets.pinshape.com/uploads/image/file/75643/container_batman-cowl-3d-printing-75643.JPG', 'https://assets.pinshape.com/uploads/image/file/75643/horizontal_thumbnail_batman-cowl-3d-printing-75643.JPG'], ['/assets/waiting-for-photo-d366063e686f0ef6eab0e14fe0d792e229000562044c671e6c5768360e983c32.png', '/assets/waiting-for-photo-d366063e686f0ef6eab0e14fe0d792e229000562044c671e6c5768360e983c32.png'], ['/assets/waiting-for-photo-d366063e686f0ef6eab0e14fe0d792e229000562044c671e6c5768360e983c32.png', '/assets/waiting-for-photo-d366063e686f0ef6eab0e14fe0d792e229000562044c671e6c5768360e983c32.png'], ['/assets/waiting-for-photo-d366063e686f0ef6eab0e14fe0d792e229000562044c671e6c5768360e983c32.png', '/assets/waiting-for-photo-d366063e686f0ef6eab0e14fe0d792e229000562044c671e6c5768360e983c32.png']]",Free
Pinshape,Spiral Chess Set (Large),"Experience the thrill of chess like never before with this large, Spiral Chess Set, meticulously designed for 3D printing. This unique chess set embodies an innovative spiral theme that sets it apart from traditional sets. The eye-catching design and the large size of the pieces add a fresh, modern twist to the classic game. Every piece is crafted to be printed without supports, making it a breeze to prepare and assemble. The knight, the most challenging piece to design, stands out due to its intricate detailing. Although the pieces are large, they can be printed at 75% scale to fit most boards. This chess set offers an immersive and enjoyable gaming experience. It's not just a game, it's a work of art.",Toys & Miniatures,Board Game Part,https://pinshape.com/items/5518-3d-printed-spiral-chess-set-large,//assets.pinshape.com/uploads/image/file/21146/pin_spiral-chess-set-large-3d-printing-21146.jpg,"pinshape-support-free-design-contest,chess,spiral-chess,spiral,chess-set,games,boardgame,3D-printed,Large-chess-set,SolidWorks,Artistic-design,Support-free-printing,Unique-gaming-experience,Innovative-design,Modern-twist","[['https://assets.pinshape.com/uploads/image/file/21146/container_spiral-chess-set-large-3d-printing-21146.jpg', 'https://assets.pinshape.com/uploads/image/file/21146/horizontal_thumbnail_spiral-chess-set-large-3d-printing-21146.jpg'], ['https://assets.pinshape.com/uploads/image/file/21143/container_spiral-chess-set-large-3d-printing-21143.JPG', 'https://assets.pinshape.com/uploads/image/file/21143/horizontal_thumbnail_spiral-chess-set-large-3d-printing-21143.JPG'], ['https://assets.pinshape.com/uploads/image/file/21144/container_spiral-chess-set-large-3d-printing-21144.jpg', 'https://assets.pinshape.com/uploads/image/file/21144/horizontal_thumbnail_spiral-chess-set-large-3d-printing-21144.jpg'], ['https://assets.pinshape.com/uploads/image/file/21145/container_spiral-chess-set-large-3d-printing-21145.jpg', 'https://assets.pinshape.com/uploads/image/file/21145/horizontal_thumbnail_spiral-chess-set-large-3d-printing-21145.jpg'], ['https://assets.pinshape.com/uploads/image/file/21147/container_spiral-chess-set-large-3d-printing-21147.jpg', 'https://assets.pinshape.com/uploads/image/file/21147/horizontal_thumbnail_spiral-chess-set-large-3d-printing-21147.jpg'], ['https://assets.pinshape.com/uploads/image/file/21148/container_spiral-chess-set-large-3d-printing-21148.jpg', 'https://assets.pinshape.com/uploads/image/file/21148/horizontal_thumbnail_spiral-chess-set-large-3d-printing-21148.jpg'], ['https://assets.pinshape.com/uploads/image/file/21149/container_spiral-chess-set-large-3d-printing-21149.jpg', 'https://assets.pinshape.com/uploads/image/file/21149/horizontal_thumbnail_spiral-chess-set-large-3d-printing-21149.jpg'], ['https://assets.pinshape.com/uploads/image/file/21150/container_spiral-chess-set-large-3d-printing-21150.jpg', 'https://assets.pinshape.com/uploads/image/file/21150/horizontal_thumbnail_spiral-chess-set-large-3d-printing-21150.jpg']]",Free
Pinshape,Fully assembled 3D printable wrench,"Experience the magic of 3D printing with this fully assembled, 3D printable wrench. No assembly required, just remove the internal support and voila, your wrench is ready to use! This model is a living proof of what 3D printing technology can achieve. Whether you're a 3D printing enthusiast or just love DIY projects, this wrench will surely impress. It even features a longer 'screw' for enhanced functionality. This model isn't just a tool, it's a testament to the limitless possibilities of 3D printing.",Tools & Functional Parts,Tools,https://pinshape.com/items/7018-3d-printed-fully-assembled-3d-printable-wrench,//assets.pinshape.com/uploads/image/file/25765/pin_fully-assembled-3d-printable-wrench-3d-printing-25765.jpg,"3dprintable,3dprinted,adjustable_end_wrench,adjustable_spanner,assembled,Barspin,crescent_wrench,Daniel_Noree,moving_parts,Shifter,shifting_spanner,spanner,tool,TopSolid,wrench,DIY,3D_Printing,functional_tool,printable_tool,innovation","[['https://assets.pinshape.com/uploads/image/file/25765/container_fully-assembled-3d-printable-wrench-3d-printing-25765.jpg', 'https://assets.pinshape.com/uploads/image/file/25765/horizontal_thumbnail_fully-assembled-3d-printable-wrench-3d-printing-25765.jpg'], ['https://assets.pinshape.com/uploads/image/file/25766/container_fully-assembled-3d-printable-wrench-3d-printing-25766.jpg', 'https://assets.pinshape.com/uploads/image/file/25766/horizontal_thumbnail_fully-assembled-3d-printable-wrench-3d-printing-25766.jpg'], ['https://assets.pinshape.com/uploads/image/file/25767/container_fully-assembled-3d-printable-wrench-3d-printing-25767.jpg', 'https://assets.pinshape.com/uploads/image/file/25767/horizontal_thumbnail_fully-assembled-3d-printable-wrench-3d-printing-25767.jpg']]",Free
Pinshape,Star Wars Death Star,"Get your hands on the ultimate weapon of the Galactic Empire, the Death Star! This is a highly detailed 3D model that you can print right in your home. It's a must-have for any Star Wars fan!",Toys & Miniatures,Sci-Fi Miniatures,https://pinshape.com/items/30200-3d-printed-star-wars-death-star,//assets.pinshape.com/uploads/image/file/120279/pin_star-wars-death-star-3d-printing-120279.jpg,"death-star,Star-Wars,model,miniature,sci-fi,3D-print,Galactic-Empire,movie-replica,space-station,iconic,collectible,home-decor,fantasy,intergalactic,spacecraft","[['https://assets.pinshape.com/uploads/image/file/120279/container_star-wars-death-star-3d-printing-120279.jpg', 'https://assets.pinshape.com/uploads/image/file/120279/horizontal_thumbnail_star-wars-death-star-3d-printing-120279.jpg'], ['https://assets.pinshape.com/uploads/image/file/120278/container_star-wars-death-star-3d-printing-120278.jpg', 'https://assets.pinshape.com/uploads/image/file/120278/horizontal_thumbnail_star-wars-death-star-3d-printing-120278.jpg'], ['https://assets.pinshape.com/uploads/image/file/120280/container_star-wars-death-star-3d-printing-120280.jpg', 'https://assets.pinshape.com/uploads/image/file/120280/horizontal_thumbnail_star-wars-death-star-3d-printing-120280.jpg'], ['https://assets.pinshape.com/uploads/image/file/120281/container_star-wars-death-star-3d-printing-120281.jpg', 'https://assets.pinshape.com/uploads/image/file/120281/horizontal_thumbnail_star-wars-death-star-3d-printing-120281.jpg']]",$6.50
Pinshape,"BeQui, Jointed Robot","Meet BeQui, a charming jointed robot standing 23cm tall with 16 flexible joints. This adorable little android loves to double as a mobile support or star in your stop-motion movies. BeQui comes with two head options and two chest designs, one featuring her logo and another one for your custom designs, making her the perfect customizable companion. No need for material support, and she's easy to assemble using elastic cords. Get creative with your 3D printing and bring BeQui to life!",Toys & Miniatures,Action Figures,https://pinshape.com/items/15362-3d-printed-bequi-jointed-robot,//assets.pinshape.com/uploads/image/file/219084/pin_bequi-jointed-robot-3d-printing-219084.jpg,"3D-Design,Figurines,Robots,Customizable,Jointed,Action Figures,3D Printed,DIY,Elastic Joints,Stop-Motion,Mobile Support,Creative,Fun,Educational","[['https://assets.pinshape.com/uploads/image/file/219084/container_bequi-jointed-robot-3d-printing-219084.jpg', 'https://assets.pinshape.com/uploads/image/file/219084/horizontal_thumbnail_bequi-jointed-robot-3d-printing-219084.jpg'], ['https://assets.pinshape.com/uploads/image/file/54233/container_bequi-jointed-robot-3d-printing-54233.jpg', 'https://assets.pinshape.com/uploads/image/file/54233/horizontal_thumbnail_bequi-jointed-robot-3d-printing-54233.jpg'], ['https://assets.pinshape.com/uploads/image/file/54234/container_bequi-jointed-robot-3d-printing-54234.jpg', 'https://assets.pinshape.com/uploads/image/file/54234/horizontal_thumbnail_bequi-jointed-robot-3d-printing-54234.jpg'], ['https://assets.pinshape.com/uploads/image/file/54235/container_bequi-jointed-robot-3d-printing-54235.jpg', 'https://assets.pinshape.com/uploads/image/file/54235/horizontal_thumbnail_bequi-jointed-robot-3d-printing-54235.jpg'], ['https://assets.pinshape.com/uploads/image/file/54236/container_bequi-jointed-robot-3d-printing-54236.jpg', 'https://assets.pinshape.com/uploads/image/file/54236/horizontal_thumbnail_bequi-jointed-robot-3d-printing-54236.jpg'], ['https://assets.pinshape.com/uploads/image/file/54237/container_bequi-jointed-robot-3d-printing-54237.jpg', 'https://assets.pinshape.com/uploads/image/file/54237/horizontal_thumbnail_bequi-jointed-robot-3d-printing-54237.jpg'], ['https://assets.pinshape.com/uploads/image/file/54238/container_bequi-jointed-robot-3d-printing-54238.jpg', 'https://assets.pinshape.com/uploads/image/file/54238/horizontal_thumbnail_bequi-jointed-robot-3d-printing-54238.jpg'], ['https://assets.pinshape.com/uploads/image/file/219083/container_bequi-jointed-robot-3d-printing-219083.jpg', 'https://assets.pinshape.com/uploads/image/file/219083/horizontal_thumbnail_bequi-jointed-robot-3d-printing-219083.jpg'], ['https://assets.pinshape.com/uploads/image/file/219085/container_bequi-jointed-robot-3d-printing-219085.jpg', 'https://assets.pinshape.com/uploads/image/file/219085/horizontal_thumbnail_bequi-jointed-robot-3d-printing-219085.jpg']]",Free
Pinshape,Bogdana Bockinova,"Introducing Bogdana Bockinova, the intriguing counterpart to the Galina K design. Disguised but not unnoticed, she's a vigilante wielding her blades in the fight against crime. Enjoy this thrilling piece in your collection.",Toys & Miniatures,Action Figures,https://pinshape.com/items/33240-3d-printed-bogdana-bockinova,//assets.pinshape.com/uploads/image/file/135082/pin_bogdana-bockinova-3d-printing-135082.jpg,"character,cartoon,model,action figure,vigilante,crime fighter,undercover,twin design,3D printed,blade,Galina K,Bogdana Bockinova,Pinshape,collectible,decoration","[['https://assets.pinshape.com/uploads/image/file/135082/container_bogdana-bockinova-3d-printing-135082.jpg', 'https://assets.pinshape.com/uploads/image/file/135082/horizontal_thumbnail_bogdana-bockinova-3d-printing-135082.jpg'], ['https://assets.pinshape.com/uploads/image/file/135076/container_bogdana-bockinova-3d-printing-135076.jpg', 'https://assets.pinshape.com/uploads/image/file/135076/horizontal_thumbnail_bogdana-bockinova-3d-printing-135076.jpg'], ['https://assets.pinshape.com/uploads/image/file/135077/container_bogdana-bockinova-3d-printing-135077.JPG', 'https://assets.pinshape.com/uploads/image/file/135077/horizontal_thumbnail_bogdana-bockinova-3d-printing-135077.JPG']]",Free
Pinshape,BB8 DROID - STAR WARS: THE FORCE AWAKENS,"Unleash your inner Jedi with this easy-to-print BB8 DROID from STAR WARS: THE FORCE AWAKENS! Crafted for simple assembly, our design may slightly differ from the original movie prop but requires no supports or painting. Print at your desired size and bring the iconic droid to life! Create multiple pieces with ease - 6x bb8_bodyplate_orange.STL and 2x bb8_bodyshell_white.STL. See it in action at http://maxterwip.blogspot.com.",Art & Decorations,Movie Props,https://pinshape.com/items/16063-3d-printed-bb8-droid-star-wars-the-force-awakens,//assets.pinshape.com/uploads/image/file/56939/pin_bb8-droid-star-wars-the-force-awakens-3d-printing-56939.png,"bb8,droid,Star-Wars,robot,toy-robot,3D-printed,movie-prop,easy-to-print,assembly,no-painting-required,STAR-WARS-THE-FORCE-AWAKENS,pinshape,bb8-bodyplate,bb8-bodyshell,star-wars-toy","[['https://assets.pinshape.com/uploads/image/file/56939/container_bb8-droid-star-wars-the-force-awakens-3d-printing-56939.png', 'https://assets.pinshape.com/uploads/image/file/56939/horizontal_thumbnail_bb8-droid-star-wars-the-force-awakens-3d-printing-56939.png'], ['https://assets.pinshape.com/uploads/image/file/56940/container_bb8-droid-star-wars-the-force-awakens-3d-printing-56940.png', 'https://assets.pinshape.com/uploads/image/file/56940/horizontal_thumbnail_bb8-droid-star-wars-the-force-awakens-3d-printing-56940.png'], ['https://assets.pinshape.com/uploads/image/file/56941/container_bb8-droid-star-wars-the-force-awakens-3d-printing-56941.png', 'https://assets.pinshape.com/uploads/image/file/56941/horizontal_thumbnail_bb8-droid-star-wars-the-force-awakens-3d-printing-56941.png'], ['https://assets.pinshape.com/uploads/image/file/56942/container_bb8-droid-star-wars-the-force-awakens-3d-printing-56942.png', 'https://assets.pinshape.com/uploads/image/file/56942/horizontal_thumbnail_bb8-droid-star-wars-the-force-awakens-3d-printing-56942.png'], ['https://assets.pinshape.com/uploads/image/file/56943/container_bb8-droid-star-wars-the-force-awakens-3d-printing-56943.png', 'https://assets.pinshape.com/uploads/image/file/56943/horizontal_thumbnail_bb8-droid-star-wars-the-force-awakens-3d-printing-56943.png'], ['https://assets.pinshape.com/uploads/image/file/56944/container_bb8-droid-star-wars-the-force-awakens-3d-printing-56944.png', 'https://assets.pinshape.com/uploads/image/file/56944/horizontal_thumbnail_bb8-droid-star-wars-the-force-awakens-3d-printing-56944.png'], ['https://assets.pinshape.com/uploads/image/file/56945/container_bb8-droid-star-wars-the-force-awakens-3d-printing-56945.png', 'https://assets.pinshape.com/uploads/image/file/56945/horizontal_thumbnail_bb8-droid-star-wars-the-force-awakens-3d-printing-56945.png']]",Free
